annotation_id,annotator,caption,created_at,id,image,lead_time,updated_at,video_id
470,1,noting the guide points I'm going to put this on the tip of the nose to the earlobe,2025-09-27T22:42:03.621202Z,329,/data/upload/3/b1a68be9-frame_0000.jpg,202.603,2025-09-27T22:42:03.621214Z,NG Tube Insertion Procedure _ Clinical Skills_clip_143.0s_to_250.0s
471,1,noting the guide points I'm going to put this on the tip of the nose to the earlobe,2025-09-27T22:42:34.962991Z,330,/data/upload/3/9c473e2d-frame_0001.jpg,29.756,2025-09-27T22:42:34.963004Z,NG Tube Insertion Procedure _ Clinical Skills_clip_143.0s_to_250.0s
472,1,identifying anatomical landmarks I'm going to put this on the tip of the nose to the earlobe,2025-09-27T22:45:19.766007Z,331,/data/upload/3/afa6d079-frame_0002.jpg,7.792,2025-09-27T22:45:19.766028Z,NG Tube Insertion Procedure _ Clinical Skills_clip_143.0s_to_250.0s
473,1,marking the reference points I'm going to put this on the tip of the nose to the earlobe,2025-09-27T22:45:22.701926Z,332,/data/upload/3/e2c4aad2-frame_0003.jpg,5.279,2025-09-27T22:45:22.701936Z,NG Tube Insertion Procedure _ Clinical Skills_clip_143.0s_to_250.0s
474,1,identifying anatomical landmarks I'm going to put this on the tip of the nose to the earlobe,2025-09-27T22:45:28.850097Z,333,/data/upload/3/f6c38fa0-frame_0004.jpg,5.068,2025-09-27T22:45:28.850108Z,NG Tube Insertion Procedure _ Clinical Skills_clip_143.0s_to_250.0s
475,1,noting the guide points I'm going to put this on the tip of the nose to the earlobe,2025-09-27T22:45:33.044902Z,334,/data/upload/3/31d3bb8c-frame_0005.jpg,6.756,2025-09-27T22:45:33.044916Z,NG Tube Insertion Procedure _ Clinical Skills_clip_143.0s_to_250.0s
476,1,identifying anatomical landmarks I'm going to put this on the tip of the nose to the earlobe,2025-09-27T22:45:36.200853Z,335,/data/upload/3/e0445bcc-frame_0006.jpg,7.804,2025-09-27T22:45:36.200875Z,NG Tube Insertion Procedure _ Clinical Skills_clip_143.0s_to_250.0s
477,1,noting the guide points I'm going to put this on the tip of the nose to the earlobe,2025-09-27T22:45:38.844723Z,336,/data/upload/3/cd7f2e96-frame_0007.jpg,6.683999999999999,2025-09-27T22:45:38.844742Z,NG Tube Insertion Procedure _ Clinical Skills_clip_143.0s_to_250.0s
478,1,identifying anatomical landmarks I'm going to put this on the tip of the nose to the earlobe,2025-09-27T22:45:43.515169Z,337,/data/upload/3/45509a9c-frame_0008.jpg,5.805,2025-09-27T22:45:43.515188Z,NG Tube Insertion Procedure _ Clinical Skills_clip_143.0s_to_250.0s
479,1,and then from the earlobe I'm going to hold it here I'm going to go down to the xiphoid process,2025-09-27T22:45:47.996184Z,338,/data/upload/3/37d7c1db-frame_0009.jpg,17.219,2025-09-27T22:45:47.996195Z,NG Tube Insertion Procedure _ Clinical Skills_clip_143.0s_to_250.0s
480,1,and then from the earlobe I'm going to hold it here I'm going to go down to the xiphoid process,2025-09-27T22:45:51.321492Z,339,/data/upload/3/1571bc29-frame_0010.jpg,7.548,2025-09-27T22:45:51.321510Z,NG Tube Insertion Procedure _ Clinical Skills_clip_143.0s_to_250.0s
481,1,and then from the earlobe I'm going to hold it here I'm going to go down to the xiphoid process,2025-09-27T22:45:55.796990Z,340,/data/upload/3/cd2f083d-frame_0011.jpg,5.212,2025-09-27T22:45:55.797000Z,NG Tube Insertion Procedure _ Clinical Skills_clip_143.0s_to_250.0s
482,1,and then from the earlobe I'm going to hold it here I'm going to go down to the xiphoid process,2025-09-27T22:45:59.177372Z,341,/data/upload/3/ae0c2195-frame_0012.jpg,9.27,2025-09-27T22:45:59.177385Z,NG Tube Insertion Procedure _ Clinical Skills_clip_143.0s_to_250.0s
483,1,and then from the earlobe I'm going to hold it here I'm going to go down to the xiphoid process,2025-09-27T22:46:02.740094Z,342,/data/upload/3/32ebcf29-frame_0013.jpg,5.007,2025-09-27T22:46:02.740104Z,NG Tube Insertion Procedure _ Clinical Skills_clip_143.0s_to_250.0s
